194CE227@taboracademy.org,9,International,Female,1,4,2,5,4,3,9,,,
EC9E31B9@taboracademy.org,9,International,Female,1,4,1,4,1,4,9,,,
2EDCE8F3@taboracademy.org,9,International,Male,5,4,4,3,1,1,9,,,
74CA0810@taboracademy.org,9,International,Male,5,3,1,2,1,1,9,,,
64736827@taboracademy.org,9,International,Male,2,5,1,3,4,1,9,,,
9F01E588@taboracademy.org,9,International,Male,2,3,4,3,4,3,9,,,
1F18562E@taboracademy.org,9,Domestic,Female,3,3,2,4,5,5,9,,,
0331850E@taboracademy.org,9,Domestic,Female,3,1,1,3,2,2,9,,,
C9E20D30@taboracademy.org,9,Domestic,Female,1,4,3,3,2,4,9,,,
8E074F29@taboracademy.org,9,Domestic,Female,5,3,1,3,4,4,9,,,
CC36E697@taboracademy.org,9,Domestic,Female,2,3,3,1,1,5,9,,,
A9762484@taboracademy.org,9,Domestic,Female,1,5,1,2,4,1,9,,,
5C840565@taboracademy.org,9,Domestic,Female,5,4,4,4,3,2,9,,,
5D0B3B23@taboracademy.org,9,Domestic,Female,2,3,3,1,4,3,9,,,
F986DFAA@taboracademy.org,9,Domestic,Female,1,4,1,4,3,1,9,,,
F401BB11@taboracademy.org,9,Domestic,Female,5,5,2,2,5,5,9,,,
600C5EA7@taboracademy.org,9,Domestic,Female,5,3,2,2,3,3,9,,,
3F65165A@taboracademy.org,9,Domestic,Female,5,3,3,5,3,1,9,,,
CDE1A8EC@taboracademy.org,9,Domestic,Female,4,3,1,4,3,4,9,,,
EA2E48D8@taboracademy.org,9,Domestic,Female,3,5,3,4,4,2,9,,,
A9DFE711@taboracademy.org,9,Domestic,Male,1,3,2,3,2,1,9,,,
4B5778DD@taboracademy.org,9,Domestic,Male,2,1,3,3,3,1,9,,,
2DBD9C92@taboracademy.org,9,Domestic,Male,5,3,3,4,5,5,9,,,
21A4AB35@taboracademy.org,9,Domestic,Male,3,3,3,2,2,2,9,,,
35E563E1@taboracademy.org,9,Domestic,Male,2,1,2,3,4,2,9,,,
15977E73@taboracademy.org,9,Domestic,Male,1,2,1,4,5,4,9,,,
BF3B24AB@taboracademy.org,9,Domestic,Male,2,4,2,3,4,1,9,,,
5AEF2028@taboracademy.org,9,Domestic,Male,2,3,2,3,4,1,9,,,
07B61756@taboracademy.org,9,Domestic,Male,3,5,3,2,2,4,9,,,
6374F325@taboracademy.org,9,Domestic,Male,3,3,2,5,2,2,9,,,
7E47295A@taboracademy.org,9,Domestic,Male,3,5,4,5,2,5,9,,,
0BE997CC@taboracademy.org,9,Domestic,Male,5,1,3,5,1,1,9,,,
45E89756@taboracademy.org,9,Domestic,Male,4,4,1,5,5,3,9,,,
B8ED4C97@taboracademy.org,9,Domestic,Male,5,3,5,2,2,1,9,,,
B02CD065@taboracademy.org,9,Domestic,Female,4,1,4,4,2,4,9,,,
67F9D846@taboracademy.org,9,Domestic,Male,4,2,2,4,2,4,9,,,
BA6FF4D7@taboracademy.org,9,Domestic,Male,3,1,2,2,3,3,9,,,
27337578@taboracademy.org,9,Domestic,Female,2,1,4,5,2,4,9,,,
21343665@taboracademy.org,10,Male,LN103,LN204,LN104,LN105,
32423454@taboracademy.org,11,Male,E03,E05,E09,E11,
45756766@taboracademy.org,10,Female,S11,S01,S06,S04,
68678768@taboracademy.org,10,Female,N201,N101,N107,N105
12413423@taboracademy.org,11,Female,N07,N02,E13,N06,

